SERVIDOR	DISCO	FECHA	HORA	GB
S_SHADOW	E$	2014-09-29	08:10:00	12,97
S_SHADOW	C$	2014-09-29	08:10:00	2,35
INTRANET	C$	2014-09-29	08:10:00	2,08
S_TS	C$	2014-09-29	08:10:00	35,93
BU-CONCENTRADOR	C$	2014-09-30	08:10:00	191,07
VWEB	C$	2014-09-30	08:10:00	20,09
TOSHIBA	D$	2014-09-30	08:10:00	125,7
TOSHIBA	C$	2014-09-30	08:10:00	53,18
S_BI	E$	2014-09-30	08:10:00	80,83
S_BI	C$	2014-09-30	08:10:00	54,35
S_BBDD	C$	2014-09-30	08:10:00	9,63
S_BBDD	E$	2014-09-30	08:10:00	259,62
S_BBDD	D$	2014-09-30	08:10:00	1,35
S_2008	E$	2014-09-30	08:10:00	26,86
S_2008	C$	2014-09-30	08:10:00	10,45
S_SHADOW	E$	2014-09-30	08:10:00	12,97
S_SHADOW	C$	2014-09-30	08:10:00	2,34
INTRANET	C$	2014-09-30	08:10:00	2,06
S_TS	C$	2014-09-30	08:10:00	35,66
BU-CONCENTRADOR	C$	2014-10-01	08:10:00	190,77
VWEB	C$	2014-10-01	08:10:00	20,09
TOSHIBA	D$	2014-10-01	08:10:00	125,7
TOSHIBA	C$	2014-10-01	08:10:00	53,8
S_BI	E$	2014-10-01	08:10:00	80,73
S_BI	C$	2014-10-01	08:10:00	54,35
S_BBDD	C$	2014-10-01	08:10:00	9,83
S_BBDD	E$	2014-10-01	08:10:00	256,14
S_BBDD	D$	2014-10-01	08:10:00	1,36
S_2008	E$	2014-10-01	08:10:00	26,86
S_2008	C$	2014-10-01	08:10:00	10,46
S_SHADOW	E$	2014-10-01	08:10:00	12,97
S_SHADOW	C$	2014-10-01	08:10:00	2,34
INTRANET	C$	2014-10-01	08:10:00	2,04
S_TS	C$	2014-10-01	08:10:00	35,66
BU-CONCENTRADOR	C$	2014-10-02	08:10:00	190,48
VWEB	C$	2014-10-02	08:10:00	20,09
TOSHIBA	D$	2014-10-02	08:10:00	125,7
TOSHIBA	C$	2014-10-02	08:10:00	53,57
S_BI	E$	2014-10-02	08:10:00	80,73
S_BI	C$	2014-10-02	08:10:00	54,31
S_BBDD	C$	2014-10-02	08:10:00	9,83
S_BBDD	E$	2014-10-02	08:10:00	255,15
S_BBDD	D$	2014-10-02	08:10:00	1,36
S_2008	E$	2014-10-02	08:10:00	26,86
S_2008	C$	2014-10-02	08:10:00	10,46
S_SHADOW	E$	2014-10-02	08:10:00	12,96
